rank,prev_rank,name,league,off,def,spi
503,503,FC Xanthi,Greek Super League,0.58,1.33,25.81
504,504,Haugesund,Norwegian Tippeligaen,0.98,1.94,25.79
505,507,Oita Trinita,Japanese J League,0.69,1.52,25.51
506,497,Western Sydney FC,Australian A-League,0.97,1.95,25.47
507,501,Würzburger Kickers,German 2. Bundesliga,0.87,1.81,25.42
508,550,St Mirren,Scottish Premiership,0.73,1.59,25.4
509,510,Charlton Athletic,English League One,0.91,1.86,25.31
510,511,Melbourne Victory,Australian A-League,0.97,1.95,25.26
511,513,Niort,French Ligue 2,0.84,1.77,25.17
512,499,Chambly Thelle FC,French Ligue 2,0.81,1.73,25.02
513,549,Blackpool,English League One,0.76,1.66,24.86
514,529,Cremonese,Italy Serie B,0.75,1.65,24.83
515,505,ADO Den Haag,Dutch Eredivisie,0.98,2.0,24.83
516,525,Rodez,French Ligue 2,0.73,1.63,24.75
517,517,Black Aces,South African ABSA Premier League,0.81,1.78,24.28
518,508,Kilmarnock,Scottish Premiership,0.72,1.64,24.23
519,518,Maritzburg Utd,South African ABSA Premier League,0.56,1.39,24.05
520,519,Pisa,Italy Serie B,0.79,1.78,23.83
521,536,Eintracht Braunschweig,German 2. Bundesliga,0.76,1.73,23.79
522,521,SK Brann,Norwegian Tippeligaen,0.87,1.91,23.79
523,522,Sacramento Republic FC,United Soccer League,0.8,1.8,23.75
524,523,FC Cincinnati,Major League Soccer,0.75,1.72,23.73
525,516,Motherwell,Scottish Premiership,0.77,1.75,23.7
526,524,IK Sirius,Swedish Allsvenskan,0.94,2.02,23.7
527,526,Vegalta Sendai,Japanese J League,0.8,1.81,23.52
528,528,Brisbane Roar,Australian A-League,0.82,1.85,23.38
529,530,Helsingborgs IF,Swedish Allsvenskan,0.83,1.88,23.31
530,534,Salernitana,Italy Serie B,0.77,1.78,23.23
531,515,Fleetwood Town,English League One,0.66,1.62,23.14
532,531,Vancouver Whitecaps,Major League Soccer,0.84,1.9,23.13
533,552,Dunkerque,French Ligue 2,0.72,1.72,23.08
534,520,Reggina,Italy Serie B,0.7,1.69,23.04
535,532,New Mexico United,United Soccer League,0.81,1.88,22.97
536,512,Ipswich Town,English League One,0.66,1.63,22.96
537,537,Bloem Celtic,South African ABSA Premier League,0.8,1.9,22.37
538,539,Sarpsborg,Norwegian Tippeligaen,0.68,1.72,22.04
539,541,Stromsgodset,Norwegian Tippeligaen,0.96,2.17,22.01
540,542,Lyngby,Danish SAS-Ligaen,0.84,1.99,21.98
541,527,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,0.94,2.14,21.97
542,543,Orange County SC,United Soccer League,0.77,1.88,21.91
543,544,El Paso Locomotive FC,United Soccer League,0.66,1.7,21.89
544,538,St Johnstone,Scottish Premiership,0.66,1.7,21.89
545,545,Panionios,Greek Super League,0.51,1.45,21.84
546,546,Vicenza,Italy Serie B,0.68,1.73,21.82
547,547,Austin Bold FC,United Soccer League,0.94,2.16,21.69
548,548,Charleston Battery,United Soccer League,0.74,1.86,21.6
549,535,Milton Keynes Dons,English League One,0.71,1.8,21.58
550,551,Volos NFC,Greek Super League,0.65,1.73,21.22
551,560,Accrington Stanley,English League One,0.7,1.81,21.17
552,553,San Diego Loyal SC,United Soccer League,0.7,1.82,21.09
553,540,Cosenza,Italy Serie B,0.62,1.71,20.87
554,569,Gillingham,English League One,0.67,1.79,20.76
555,554,Indy Eleven,United Soccer League,0.68,1.84,20.5
556,562,Chateauroux,French Ligue 2,0.7,1.89,20.16
557,556,Shonan Bellmare,Japanese J League,0.58,1.68,20.11
558,533,Dundee Utd,Scottish Premiership,0.65,1.81,20.11
559,557,Birmingham Legion FC,United Soccer League,0.84,2.15,19.81
560,559,Yokohama FC,Japanese J League,0.68,1.89,19.6
561,564,Virtus Entella,Italy Serie B,0.64,1.83,19.56
562,555,Exeter City,English League Two,0.84,2.17,19.49
563,561,Sandefjord,Norwegian Tippeligaen,0.6,1.78,19.39
564,558,Pau,French Ligue 2,0.62,1.82,19.26
565,566,Highlands Park FC,South African ABSA Premier League,0.57,1.75,18.95
566,576,Central Coast Mariners,Australian A-League,0.73,2.04,18.86
567,570,Miami FC,United Soccer League,0.83,2.25,18.46
568,565,Salford City,English League Two,0.54,1.74,18.43
569,578,Rochdale,English League One,0.94,2.43,18.34
570,568,US Pescara,Italy Serie B,0.58,1.81,18.33
571,571,Falkenbergs FF,Swedish Allsvenskan,0.74,2.11,18.32
572,572,Kalmar FF,Swedish Allsvenskan,0.6,1.86,18.23
573,567,Shrewsbury Town,English League One,0.56,1.79,18.22
574,573,Saint Louis FC,United Soccer League,0.64,1.94,18.03
575,574,Östersunds FK,Swedish Allsvenskan,0.65,1.97,17.92
576,583,Plymouth Argyle,English League One,0.73,2.12,17.84
577,577,IK Start,Norwegian Tippeligaen,0.67,2.04,17.68
578,575,Hamilton Academical,Scottish Premiership,0.65,2.0,17.57
579,563,Crewe Alexandra,English League One,0.67,2.04,17.49
580,580,Golden Arrows,South African ABSA Premier League,0.43,1.63,17.14
581,582,Mjondalen,Norwegian Tippeligaen,0.55,1.86,17.02
582,581,Ascoli,Italy Serie B,0.55,1.87,17.0
583,585,Charlotte Independence,United Soccer League,0.66,2.09,16.87
584,586,North Carolina FC,United Soccer League,0.65,2.09,16.69
585,587,LA Galaxy II,United Soccer League,0.84,2.45,16.26
586,588,Reggiana,Italy Serie B,0.53,1.91,15.99
587,593,Cheltenham Town,English League Two,0.48,1.83,15.91
588,584,Ross County,Scottish Premiership,0.63,2.13,15.63
589,590,Polokwane City FC,South African ABSA Premier League,0.47,1.84,15.52
590,591,Tulsa Roughnecks,United Soccer League,0.62,2.14,15.51
591,589,Swindon Town,English League One,0.75,2.37,15.4
592,594,Memphis 901 FC,United Soccer League,0.74,2.37,15.25
593,595,Carlisle United,English League Two,0.54,2.0,15.15
594,596,Crawley Town,English League Two,0.59,2.12,14.99
595,599,Mansfield Town,English League Two,0.59,2.14,14.72
596,579,Wigan,English League One,0.66,2.28,14.62
597,597,Oldham Athletic,English League Two,0.75,2.47,14.56
598,592,Leyton Orient,English League Two,0.54,2.07,14.5
599,600,Burton Albion,English League One,0.75,2.47,14.39
600,598,Bristol Rovers,English League One,0.48,2.0,14.01
601,601,Chippa United,South African ABSA Premier League,0.26,1.54,13.92
602,602,Hartford Athletic,United Soccer League,0.66,2.37,13.84
603,603,AmaZulu,South African ABSA Premier League,0.31,1.68,13.48
604,604,Real Monarchs SLC,United Soccer League,0.56,2.22,13.33
605,605,Las Vegas Lights FC,United Soccer League,0.67,2.44,13.32
606,612,Tranmere Rovers,English League Two,0.51,2.15,13.13
607,606,Baroka FC,South African ABSA Premier League,0.24,1.57,12.84
608,609,Forest Green Rovers,English League Two,0.39,1.93,12.78
609,607,Tacoma Defiance,United Soccer League,0.65,2.49,12.51
610,610,Portland Timbers 2,United Soccer League,0.79,2.78,12.37
611,611,Stellenbosch FC,South African ABSA Premier League,0.35,1.89,12.29
612,608,Bolton,English League Two,0.51,2.26,12.08
613,616,Black Leopards,South African ABSA Premier League,0.39,2.03,11.75
614,629,Morecambe,English League Two,0.46,2.19,11.69
615,617,Swope Park Rangers,United Soccer League,0.62,2.56,11.56
616,614,AFC Wimbledon,English League One,0.48,2.26,11.55
617,613,Cambridge United,English League Two,0.37,2.02,11.44
618,619,Newport County,English League Two,0.37,2.04,11.36
619,620,Barrow,English League Two,0.44,2.21,11.24
620,621,Colorado Springs Switchbacks FC,United Soccer League,0.47,2.27,11.15
621,622,Northampton Town,English League One,0.4,2.16,10.8
622,623,Aalesund,Norwegian Tippeligaen,0.59,2.64,10.37
623,628,Bradford City,English League Two,0.29,1.97,10.37
624,615,Colchester United,English League Two,0.37,2.16,10.17
625,624,Oklahoma City Energy FC,United Soccer League,0.42,2.3,10.16
626,630,Walsall,English League Two,0.39,2.23,10.07
627,625,New York Red Bulls II,United Soccer League,0.64,2.79,10.04
628,626,Rio Grande Valley FC Toros,United Soccer League,0.47,2.42,10.01
629,627,Atlanta United 2,United Soccer League,0.57,2.67,9.86
630,618,Port Vale,English League Two,0.43,2.38,9.63
631,632,Scunthorpe,English League Two,0.32,2.25,8.73
632,631,Stevenage,English League Two,0.2,2.04,7.98
633,633,Southend United,English League Two,0.2,2.27,6.56
634,635,Loudoun United FC,United Soccer League,0.34,2.65,6.51
635,634,Harrogate Town,English League Two,0.2,2.28,6.47
636,636,Bethlehem Steel FC,United Soccer League,0.41,2.99,5.78
637,637,Grimsby Town,English League Two,0.2,2.49,5.39
